Andrenidae
"   Andrena bicolor Fabricius, 1775 -- Apis icterica Christ, 1791; Apis fuliginosa_homonym Christ, 1791; Andrena lucida Panzer, 1798; Melitta picicornis Kirby, 1802; Melitta pilosula Kirby, 1802; Melitta gwynana Kirby, 1802; Apis ephippiata Schrank, 1802; Andrena oraniensis Lepeletier, 1841; Andrena proxima_homonym Smith, 1847; Andrena aestiva Smith, 1849; Andrena consimilis_homonym Smith, 1849, replacement name; Andrena nigrifrons_homonym Eversmann, 1852; Andrena laeviuscula Schenck, 1853; Andrena fuscohirta Schenck, 1853; Andrena distinguenda Schenck, 1853; Andrena marginalis Schenck, 1861; Andrena violascens Thomson, 1870; Andrena beuthini Schenck, 1876; Andrena gwynana var testacea Dalla Torre, 1877; Andrena lavandulae Pérez, 1902; Andrena nigrosterna Pérez, 1902; Andrena nigriventris_homonym Pérez, 1902; Andrena fervida Pérez, 1902; Andrena heterodoxa Pérez, 1903; Andrena phaneromelas Cockerell, 1929; Andrena baleina Cockerell, 1929; Andrena (Euandrena) bicolor agraria Warncke, 1974, replacement name; Andrena bicolor apricaria Warncke, 1975"
"   Andrena bicolorata (Rossi, 1790) -- Apis bicolorata Rossi, 1790; Andrena melanaria Dours, 1872; Andrena lichtensteini Schmiedeknecht, 1883; Andrena nigrocinerea De Stefani, 1889; Andrena albocinerea Saunders, 1908"
"   Andrena biemarginata Nurse, 1904 -- Andrena bi-emarginata Nurse, 1904"
"   Andrena bifida Warncke, 1967"
"   Andrena biguttata Friese, 1923 -- Andrena (Ulandrena) biguttata Friese, 1923"
"   Andrena bilavia Osytshnjuk, 1994"
"   Andrena bilimeki LaBerge, 1967"
"   Andrena bimaculata (Kirby, 1802) -- Melitta bimaculata Kirby, 1802; Andrena decorata Smith, 1847; Andrena conjuncta Smith, 1847; Andrena articulata Smith, 1847; Andrena vitrea Smith, 1847; Andrena consobrina Eversmann, 1852; Andrena vitreipennis Costa, 1861; Andrena mystacea Dours, 1861; Andrena intermedia_homonym Morawitz, 1871; Andrena moravitzi Thomson, 1872, status uncertain; Andrena morawitzi Thomson, 1872, emend; Andrena atro-rubricata Dours, 1872; Andrena atrorubricata Dours, 1872; Andrena aulica Morawitz, 1876; Andrena comparata Morawitz, 1876; Andrena melanura Morawitz, 1877; Andrena paveli Schmiedeknecht, 1883; Andrena magrettiana Schmiedeknecht, 1884; Andrena germabica Radoszkowski, 1893; Andrena atrorubricata var concolor_homonym Alfken, 1914; Andrena bimaculata var mondaensis Friese, 1922; Andrena bimaculata var serotinella Friese, 1922; Andrena morawitzi var hirtella Friese, 1922; Andrena tibialis var tricolorata Friese, 1922; Andrena florea var clavipes Friese, 1924; Andrena bluethgeni Stoeckhert, 1930; Andrena gaetula Benoist, 1961; Andrena bimaculata lichata Warncke, 1967, valid subspecies; Andrena (Plastandrena) bimaculata aulica Morawitz, 1876, valid subspecies"
"   Andrena binominata Smith, 1853 -- Andrena bimaculata_homonym Lepeletier, 1841; Andrena binominata Smith, 1853, replacement name; Andrena griseo-fusca Pérez, 1903; Andrena griseofusca Pérez, 1903; Andrena mallorcana Friese, 1922"
"   Andrena birtwelli Cockerell, 1901 -- Andrena moesticolor Viereck and Cockerell, 1914; Andrena (Andrena) potentillarum Viereck, 1924; Andrena birtwelli subatrata Cockerell, 1931"
"   Andrena bisalicis Viereck, 1908 -- Andrena salicis_homonym Robertson, 1891; Andrena bisalicis Viereck, 1908, replacement name; Andrena (Andrena) adelae Viereck, 1922"
"   Andrena biscutellata Viereck, 1917 -- Andrena (Ptilandrena) biscutellata Viereck, 1917"
"   Andrena biskrensis Pérez, 1895 -- Andrena biskrensis var hassani Benoist, 1950"
"   Andrena bisulcata Morawitz, 1877 -- Andrena echinulata Pérez, 1903; Andrena doderoi Jaeger, 1934"
"   Andrena blaisdelli Cockerell, 1924 -- Andrena (Melandrena) blaisdelli Cockerell, 1924"
"   Andrena blanda Pérez, 1895"
"   Andrena blennospermatis Thorp, 1969"
"   Andrena bocensis Donovan, 1977"
"   Andrena bonasia Warncke, 1969 -- Andrena (Aenandrena) bonasia naevia Warncke, 1969"
"   Andrena bonivuri Osytshnjuk, 1984"
"   Andrena boronensis Linsley and MacSwain, 1962 -- Andrena (Onagrandrena) eulobi Linsley and Macswain, 1963"
"   Andrena boyerella Dours, 1872 -- Andrena distincta_homonym Lucas, 1849"
"   Andrena braccata Viereck, 1907"
"   Andrena bradleyi Viereck, 1907 -- Andrena saccharina Cockerell and Rohwer, 1907; Andrena (Conandrena) saccharina Cockerell and Rohwer, 1907"
"   Andrena braunsiana Friese, 1887 -- Andrena braunsiana detorta Warncke, 1975"
"   Andrena brevicornis Bouseman and LaBerge, 1979"
"   Andrena brevihirtiscopa Hirashima, 1962"
"   Andrena brevipalpis Cockerell, 1930 -- Andrena (Thysandrena) brevipalpis Cockerell, 1930"
"   Andrena breviscopa Pérez, 1895"
"   Andrena brooksi Larkin, 2004"
"   Andrena brumanensis Friese, 1899 -- Andrena clypeata_homonym Brullé, 1832"
"   Andrena bruneri Viereck and Cockerell, 1914 -- Andrena laramiensis Viereck and Cockerell, 1914; Andrena viridibasis Cockerell, 1930; Andrena (Elandrena) bruneri Viereck and Cockerell, 1914; Andrena (Elandrena) viridibasis Cockerell, 1930"
"   Andrena buccata LaBerge, 1971"
"   Andrena bucculenta LaBerge and Ribble, 1972"
"   Andrena bucephala Stephens, 1846 -- Andrena longipes Smith, 1847"
"   Andrena buckelli Viereck, 1924"
"   Andrena bulgariensis Warncke, 1965"
"   Andrena bullata LaBerge, 1967"
"   Andrena burkelli Bingham, 1908 -- Anthrena burkelli Bingham, 1908"
"   Andrena butea Warncke, 1965 -- Andrena graeca butea Warncke, 1965; Andrena butea ketupa Warncke, 1975"
"   Andrena byrsicola Schmiedeknecht, 1900"
"   Andrena bytinskii Warncke, 1969 -- Andrena (Pallandrena) bytinskii"
"   Andrena caerulea Smith, 1879 -- Andrena coerulea var territa Cockerell, 1898; Pterandrena erigenoides Viereck, 1904; Pterandrena crypta Viereck, 1904; Pterandrena acrypta Viereck, 1904; Pterandrena complexa Viereck, 1904; Andrena (Ptilandrena) francisca Viereck, 1917; Andrena supervirens Cockerell, 1924; Andrena supervirens var aurescens Cockerell, 1924; Andrena (Andrena) innominata Viereck, 1926; Andrena (Ptilandrena) supervirens var tristis_homonym Linsley, 1951, nomen nudum, likely a miscitation of var aurescens; Andrena erigenoides (Viereck, 1904); Andrena crypta (Viereck, 1904); Andrena acrypta (Viereck, 1904); Andrena complexa (Viereck, 1904)"
"   Andrena caeruleonitens Viereck, 1926 -- Andrena (Andrena) caeruleonitens Viereck, 1926"
"   Andrena caesia Warncke, 1974"
"   Andrena calandra Warncke, 1975"
"   Andrena californiensis Ribble, 1968"
"   Andrena caliginosa Viereck, 1917 -- Andrena (Andrena) caliginosa Viereck, 1917; Andrena (Dactylandrena) maura Viereck, 1924"
"   Andrena callopyrrha Cockerell, 1929 -- Andrena (Taeniandrena) callopyrrha kozlovi Osytshnjuk, 1994"
"   Andrena callosa Warncke, 1967"
"   Andrena calvata LaBerge, 1967"
"   Andrena camellia Wu, 1977"
"   Andrena camissoniae Linsley and MacSwain, 1968"
"   Andrena canadensis Dalla Torre, 1896 -- Andrena simulata_homonym Provancher, 1888; Andrena canadensis Dalla Torre, 1896, replacement name; Andrena (Pterandrena) persimilis Graenicher, 1904; Andrena canadensis oslarella Viereck and Cockerell, 1914"
"   Andrena candida Smith, 1879 -- Andrena chlorinella Viereck, 1904; Andrena xanthostigma Viereck, 1904; Andrena subcandida Viereck, 1904; Andrena (Andrena) candida race tramoserica Viereck, 1917, doubtful synonymy"
"   Andrena candidiformis Viereck and Cockerell, 1914 -- Andrena nigritarsis Viereck and Cockerell, 1914; Andrena semotula Cockerell, 1936"
"   Andrena caneae Strand, 1915 -- Andrena mavromoustakisi Pittioni, 1950"
"   Andrena canohirta (Friese, 1923) -- Panurgus canohirtus Friese, 1923; Andrena balcanica Warncke, 1965"
"   Andrena cantiaca Warncke, 1975 -- Andrena cantiaca infuscata Warncke, 1975"
"   Andrena canuta Warncke, 1975"
"   Andrena capillosa Morawitz, 1876"
"   Andrena capillosella Osytshnjuk, 1986"
"   Andrena capricornis Casad and Cockerell, 1896"
"   Andrena caprimulga Warncke, 1975"
"   Andrena cara Nurse, 1904 -- Andrena halictoides_homonym Nurse, 1904; Andrena nursei Cockerell, 1913, replacement name; Andrena cara minor_homonym Warncke, 1975; Andrena cara kurdistanica Engel, 2005, replacement name; Andrena (Carandrena) cara kurdistanica Engel, 2005, valid subspecies"
"   Andrena carbointegra Xu and Tadauchi, 2012"
"   Andrena carinata Morawitz, 1877 -- Andrena (Ulandrena) carinata Morawitz, 1877"
"   Andrena carinifrons Morawitz, 1876"
"   Andrena carinigena Wu, 1982"
"   Andrena carlini Cockerell, 1901 -- Andrena bicolor_homonym Robertson, 1891; Andrena carlini Cockerell, 1901, replacement name; Andrena interrogationis_homonym Viereck and Cockerell, 1914; Andrena viereckella Viereck and Cockerell, 1914, replacement name; Andrena (Cryptandrena) carlini Cockerell, 1901; Andrena (Bythandrena) carlini Cockerell, 1901; Andrena (Bythandrena) carlini neorhodura Mitchell, 1960"
"   Andrena caroli Pérez, 1895 -- Andrena berenice Schmiedeknecht, 1900; Andrena zachroa Cockerell, 1930; Andrena caroli abdukila Warncke, 1974"
"   Andrena carolina Viereck, 1909 -- Andrena carolina Viereck, 1909; Andrena (Conandrena) carolina Viereck, 1909; Andrena (Andrena) longifacies LaBerge, 1980"
"   Andrena carolinensis Mitchell, 1960 -- Andrena (Gymnandrena) carolinensis Mitchell, 1960"
"   Andrena casadae Cockerell, 1896"
"   Andrena caspica Morawitz, 1886 -- Andrena unifasciata Friese, 1899"
"   Andrena castanea Warncke, 1975"
"   Andrena caudata Warncke, 1965"
"   Andrena ceanothi Viereck, 1917 -- Andrena (Trachandrena) compacta Mitchell, 1960"
"   Andrena ceanothifloris Linsley, 1938 -- Andrena (Andrena) ceanothifloris cretata LaBerge, 1980, valid subspecies"
"   Andrena cephalota Xu, 1994"
"   Andrena cerasifolii Cockerell, 1896 -- Andrena mimetica Cockerell, 1903; Andrena mimetica falli Cockerell, 1907; Andrena (Andrena) yumorum Viereck, 1917"
"   Andrena cercocarpi Cockerell, 1936 -- Andrena (Micrandrena) haroldi Timberlake, 1951"
"   Andrena cerebrata Mitchell, 1960"
"   Andrena cervina Warncke, 1975"
"   Andrena chaetogastra Pittioni, 1950"
